Date,Open,High,Low,Close,Volume
02/11/2026,"1,458.55","1,469.90","1,454.45","1,468.55","405,321"
02/10/2026,"1,466.30","1,470.55","1,452.60","1,458.55","274,911"
02/09/2026,"1,459.90","1,465.75","1,453.15","1,461.40","390,479"
02/06/2026,"1,440.05","1,452.80","1,433.10","1,450.85","348,407"
02/05/2026,"1,457.00","1,460.90","1,439.65","1,443.40","1,560,195"
02/04/2026,"1,438.10","1,464.05","1,438.10","1,456.60","837,314"
02/03/2026,"1,481.45","1,489.00","1,431.00","1,437.85","878,787"
02/02/2026,"1,341.00","1,392.90","1,336.00","1,390.15","327,928"
01/30/2026,"1,384.10","1,398.00","1,379.25","1,395.90","653,980"
01/29/2026,"1,399.95","1,402.65","1,385.90","1,391.90","1,593,526"
01/28/2026,"1,383.30","1,409.70","1,383.30","1,397.05","785,854"
01/27/2026,"1,385.85","1,391.90","1,368.50","1,381.05","3,536,849"
01/23/2026,"1,403.95","1,407.15","1,381.15","1,385.95","203,908"
01/22/2026,"1,410.20","1,419.75","1,395.10","1,401.80","712,993"
01/21/2026,"1,388.05","1,412.70","1,373.00","1,403.90","416,973"
01/20/2026,"1,414.95","1,415.75","1,390.10","1,393.40","261,965"
01/19/2026,"1,455.05","1,455.05","1,403.30","1,413.25","577,607"
01/16/2026,"1,459.90","1,479.65","1,455.50","1,457.60","354,962"
01/14/2026,"1,449.35","1,466.80","1,439.85","1,458.45","610,968"
01/13/2026,"1,485.50","1,486.00","1,445.15","1,451.50","602,566"
01/12/2026,"1,475.30","1,485.00","1,451.10","1,483.30","568,998"
01/09/2026,"1,466.95","1,480.00","1,465.00","1,475.30","234,309"
01/08/2026,"1,503.75","1,503.75","1,468.45","1,470.30","2,168,603"
01/07/2026,"1,510.00","1,519.95","1,498.20","1,504.10","710,599"
01/06/2026,"1,575.55","1,575.55","1,497.05","1,507.70","956,028"
01/05/2026,"1,592.50","1,611.20","1,575.00","1,577.45","489,517"
01/02/2026,"1,579.95","1,594.45","1,578.00","1,592.45","381,201"
01/01/2026,"1,571.35","1,592.90","1,571.00","1,574.90","871,193"
12/31/2025,"1,540.05","1,576.50","1,540.05","1,569.40","437,555"
12/30/2025,"1,543.35","1,553.60","1,538.00","1,540.80","232,715"
12/29/2025,"1,558.95","1,558.95","1,543.15","1,545.30","167,579"
12/26/2025,"1,555.00","1,561.00","1,554.80","1,559.00","113,233"
12/24/2025,"1,571.05","1,575.00","1,553.85","1,557.95","712,435"
12/23/2025,"1,576.05","1,580.00","1,568.05","1,570.90","464,178"
12/22/2025,"1,568.20","1,577.00","1,565.60","1,575.45","382,704"
12/19/2025,"1,552.80","1,573.90","1,551.05","1,565.10","256,444"
12/18/2025,"1,539.95","1,551.00","1,536.00","1,544.35","1,018,167"
12/17/2025,"1,550.00","1,550.00","1,539.30","1,544.60","240,805"
12/16/2025,"1,548.00","1,551.55","1,539.40","1,541.80","126,933"
12/15/2025,"1,555.95","1,557.95","1,547.00","1,556.05","162,363"
12/12/2025,"1,549.05","1,559.50","1,546.60","1,556.00","102,402"
12/11/2025,"1,536.30","1,549.95","1,523.75","1,544.90","1,127,154"
12/10/2025,"1,532.00","1,547.50","1,530.90","1,535.30","1,143,477"
12/09/2025,"1,540.00","1,542.95","1,520.35","1,528.80","817,126"
12/08/2025,"1,533.05","1,550.80","1,533.05","1,542.55","1,730,253"
12/05/2025,"1,531.80","1,546.00","1,520.45","1,540.90","308,198"
12/04/2025,"1,536.05","1,560.10","1,518.00","1,538.40","1,432,313"
12/03/2025,"1,546.40","1,552.00","1,533.10","1,539.00","420,895"
12/02/2025,"1,560.05","1,567.00","1,542.25","1,546.40","110,289"
12/01/2025,"1,575.00","1,579.95","1,563.75","1,565.90","162,025"
11/28/2025,"1,568.00","1,580.90","1,562.35","1,566.85","479,141"
11/27/2025,"1,575.25","1,575.25","1,556.00","1,563.55","1,112,784"
11/26/2025,"1,545.00","1,571.80","1,541.00","1,569.75","485,790"
11/25/2025,"1,535.00","1,560.00","1,525.00","1,539.10","229,673"
11/24/2025,"1,548.10","1,550.00","1,532.90","1,535.75","236,624"
11/21/2025,"1,541.00","1,557.95","1,539.00","1,545.95","514,303"
11/20/2025,"1,530.00","1,550.90","1,526.80","1,549.10","1,873,543"
